customer_id,age,gender,occupation,field,income_level,current_phone_brand,current_phone_model_year,,,,,,,,,,,,
104,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
105,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
106,39,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
107,19,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
108,50,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
109,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
110,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
111,37,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
112,25,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
113,46,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
114,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
115,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
116,40,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
117,18,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
118,52,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
119,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
120,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
121,35,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
122,22,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
123,48,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
124,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
125,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
126,41,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
127,20,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
128,33,Male,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
129,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
130,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
131,38,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
132,24,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
133,51,Male,Employed,UX Designer,High,Samsung,2023,,,,,,,,,,,,
134,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
135,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
136,36,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
137,21,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
138,49,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
139,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
140,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
141,34,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
142,23,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
143,47,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
144,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
145,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
146,39,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
147,19,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
148,50,Female,Employed,IT Consultant,High,Apple,2023,,,,,,,,,,,,
149,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
150,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
151,37,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
152,25,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
153,46,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
154,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
155,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
156,40,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
157,18,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
158,52,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
159,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
160,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
161,35,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
162,22,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
163,48,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
164,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
165,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
166,41,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
167,20,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
168,33,Male,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
169,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
170,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
171,38,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
172,24,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
173,51,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
174,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
175,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
176,36,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
177,21,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
178,49,Female,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
179,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
180,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
181,34,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
182,23,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
183,47,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
184,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
185,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
186,39,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
187,19,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
188,50,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
189,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
190,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
191,37,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
192,25,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
193,46,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
194,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
195,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
196,40,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
197,18,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
198,52,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
199,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
200,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
201,35,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
202,22,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
203,48,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
204,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
205,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
206,41,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
207,20,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
208,33,Male,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
209,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
210,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
211,38,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
212,24,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
213,51,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
214,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
215,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
216,36,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
217,21,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
218,49,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
219,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
220,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
221,34,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
222,23,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
223,47,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
224,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
225,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
226,39,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
227,19,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
228,50,Female,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
229,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
230,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
231,37,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
232,25,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
233,46,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
234,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
235,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
236,40,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
237,18,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
238,52,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
239,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
240,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
241,35,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
242,22,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
243,48,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
244,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
245,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
246,41,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
247,20,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
248,33,Male,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
249,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
250,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
251,38,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
252,24,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
253,51,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
254,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
255,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
256,36,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
257,21,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
258,49,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
259,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
260,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
261,34,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
262,23,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
263,47,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
264,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
265,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
266,39,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
267,19,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
268,50,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
269,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
270,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
271,37,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
272,25,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
273,46,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
274,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
275,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
276,40,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
277,18,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
278,52,Female,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
279,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
280,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
281,35,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
282,22,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
283,48,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
284,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
285,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
286,41,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
287,20,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
288,33,Male,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
289,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
290,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
291,38,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
292,24,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
293,51,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
294,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
295,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
296,36,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
297,21,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
298,49,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
299,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
300,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
301,34,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
302,23,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
303,47,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
304,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
305,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
306,39,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
307,19,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
308,50,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
309,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
310,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
311,37,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
312,25,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
313,46,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
314,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
315,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
316,40,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
317,18,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
318,52,Female,Employed,Data Scientist,High,Apple,2023,,,,,,,,,,,,
319,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
320,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
321,35,Female,Employed,Marketing Specialist,Medium,Apple,2022,,,,,,,,,,,,
322,22,Male,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
323,48,Male,Employed,IT Consultant,High,Samsung,2023,,,,,,,,,,,,
324,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
325,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
326,41,Male,Employed,Healthcare Professional,Medium,Samsung,2022,,,,,,,,,,,,
327,20,Female,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
328,33,Male,Employed,Software Engineer,High,Apple,2023,,,,,,,,,,,,
329,27,Female,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
330,60,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
331,38,Female,Employed,Teacher,Medium,Apple,2022,,,,,,,,,,,,
332,24,Male,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
333,51,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
334,31,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
335,58,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
336,36,Male,Employed,Accountant,Medium,Samsung,2022,,,,,,,,,,,,
337,21,Female,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
338,49,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
339,30,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
340,62,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
341,34,Female,Employed,Sales Manager,Medium,Apple,2022,,,,,,,,,,,,
342,23,Male,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
343,47,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
344,28,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
345,56,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
346,39,Male,Employed,Marketing Specialist,Medium,Samsung,2022,,,,,,,,,,,,
347,19,Female,Student,Arts,Low,Other Android,2020,,,,,,,,,,,,
348,50,Female,Employed,IT Consultant,High,Apple,2023,,,,,,,,,,,,
349,32,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
350,61,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
351,37,Female,Employed,Healthcare Professional,Medium,Apple,2022,,,,,,,,,,,,
352,25,Male,Student,Computer Science,Low,Other Android,2020,,,,,,,,,,,,
353,46,Male,Employed,Data Scientist,High,Samsung,2023,,,,,,,,,,,,
354,26,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
355,57,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
356,40,Male,Employed,Teacher,Medium,Samsung,2022,,,,,,,,,,,,
357,18,Female,Student,Business,Low,Other Android,2020,,,,,,,,,,,,
358,52,Female,Employed,UX Designer,High,Apple,2023,,,,,,,,,,,,
359,33,Male,Freelancer,,Medium,Samsung,2021,,,,,,,,,,,,
360,63,Male,Retired,,Low,Google,2019,,,,,,,,,,,,
361,35,Female,Employed,Accountant,Medium,Apple,2022,,,,,,,,,,,,
362,22,Male,Student,Engineering,Low,Other Android,2020,,,,,,,,,,,,
363,48,Male,Employed,Software Engineer,High,Samsung,2023,,,,,,,,,,,,
364,29,Female,Freelancer,,Medium,Apple,2021,,,,,,,,,,,,
365,55,Female,Retired,,Low,Google,2019,,,,,,,,,,,,
366,41,Male,Employed,Sales Manager,Medium,Samsung,2022,,,,,,,,,,,,
367,20,Female,Student,Healthcare,Low,Other Android,2020,,,,,,,,,,,,
